model,releaseDate,maxResolution,effectivePixels,normalFocusRange,weight,price
Canon PowerShot S410,2004,2272.0,3.0,0.0,215.0,139.0
Canon PowerShot S45,2002,2272.0,3.0,50.0,323.0,139.0
Canon PowerShot S50,2003,2592.0,5.0,50.0,323.0,399.0
Canon PowerShot S500,2004,2592.0,5.0,0.0,215.0,149.0
Canon PowerShot S5 IS,2007,3264.0,8.0,50.0,550.0,399.0
Canon PowerShot S60,2004,2592.0,5.0,50.0,300.0,399.0
Canon PowerShot S70,2004,3072.0,7.0,50.0,300.0,399.0
Canon PowerShot S80,2005,3264.0,8.0,50.0,290.0,399.0
Canon PowerShot SD10,2003,2272.0,3.0,0.0,140.0,199.0
Canon PowerShot SD100,2003,2048.0,3.0,47.0,185.0,199.0
Canon PowerShot SD1000,2007,3072.0,7.0,0.0,175.0,199.0
Canon PowerShot SD110,2004,2048.0,3.0,0.0,195.0,199.0
Canon PowerShot SD20,2004,2592.0,5.0,0.0,140.0,199.0
Canon PowerShot SD200,2004,2048.0,3.0,0.0,135.0,199.0
Canon PowerShot SD30,2005,2592.0,5.0,0.0,120.0,199.0
Canon PowerShot SD300,2004,2272.0,3.0,0.0,147.0,199.0
Canon PowerShot SD40,2006,3072.0,7.0,0.0,120.0,199.0
Canon PowerShot SD400,2005,2592.0,5.0,0.0,150.0,199.0
Canon PowerShot SD430 Wireless,2005,2592.0,5.0,0.0,185.0,199.0
Canon PowerShot SD450,2005,2592.0,5.0,0.0,155.0,199.0
Canon PowerShot SD500,2005,3072.0,7.0,0.0,200.0,199.0
Canon PowerShot SD550,2005,3072.0,7.0,0.0,185.0,199.0
Canon PowerShot SD600,2006,2816.0,6.0,30.0,170.0,199.0
Canon PowerShot SD630,2006,2816.0,6.0,30.0,175.0,199.0
Canon PowerShot SD700 IS,2006,2816.0,6.0,45.0,195.0,384.0
Canon PowerShot SD750,2007,3072.0,7.0,0.0,170.0,384.0
Canon PowerShot SD800 IS,2006,3072.0,7.0,0.0,195.0,384.0
Canon PowerShot SD850 IS,2007,3264.0,8.0,45.0,195.0,384.0
Canon PowerShot SD870 IS,2007,3264.0,8.0,45.0,165.0,384.0
Canon PowerShot SD900,2006,3648.0,10.0,0.0,205.0,199.0
Canon PowerShot SD950 IS,2007,4000.0,12.0,50.0,205.0,384.0
Canon PowerShot SX100 IS,2007,3264.0,8.0,50.0,316.0,299.0
Canon PowerShot TX1,2007,3072.0,7.0,50.0,260.0,139.0
Casio Exilim EX-P505,2005,2560.0,4.0,40.0,275.0,249.0
Casio Exilim EX-P600,2004,2816.0,5.0,40.0,275.0,249.0
Casio Exilim EX-P700,2004,3072.0,7.0,40.0,275.0,249.0
Casio Exilim EX-S100,2004,2048.0,3.0,40.0,123.0,249.0
Casio Exilim EX-S20,2003,1600.0,1.0,80.0,100.0,249.0
Casio Exilim EX-S3,2003,2048.0,3.0,80.0,110.0,249.0
Casio Exilim EX-S500,2005,2560.0,4.0,40.0,125.0,249.0
