model,releaseDate,maxResolution,effectivePixels,normalFocusRange,weight,price
Kodak DC220,1998,1152.0,0.0,50.0,550.0,129.0
Kodak DC240,1999,1280.0,1.0,50.0,420.0,129.0
Kodak DC260,1998,1536.0,1.0,30.0,550.0,129.0
Kodak DC265,1999,1536.0,1.0,30.0,550.0,129.0
Kodak DC280,1999,1760.0,2.0,50.0,420.0,129.0
Kodak DC290,1999,1792.0,2.0,30.0,550.0,129.0
Kodak DC3200,2000,1152.0,0.0,60.0,240.0,129.0
Kodak DC3400,2000,1760.0,2.0,50.0,420.0,129.0
Kodak DC3800,2000,1760.0,2.0,50.0,200.0,129.0
Kodak DC4800,2000,2160.0,3.0,50.0,320.0,129.0
Kodak DC5000,2000,1760.0,2.0,50.0,459.0,126.0
Kodak DCS 14n,2002,4536.0,13.0,0.0,1000.0,129.0
Kodak DCS315,1998,1520.0,1.0,0.0,1800.0,126.0
Kodak DCS330,1999,2008.0,3.0,0.0,1080.0,126.0
Kodak DCS420,1994,1524.0,1.0,0.0,1700.0,129.0
Kodak DCS460,1995,3060.0,6.0,0.0,1700.0,129.0
Kodak DCS520,1998,1728.0,2.0,0.0,1650.0,129.0
Kodak DCS560,1998,3040.0,6.0,0.0,1650.0,129.0
Kodak DCS620,1999,1728.0,2.0,0.0,1580.0,129.0
Kodak DCS620x,2000,1728.0,2.0,0.0,1580.0,129.0
Kodak DCS660,1999,3040.0,6.0,0.0,1580.0,129.0
Kodak DCS720x,2001,1728.0,2.0,0.0,1580.0,129.0
Kodak DCS760,2001,3032.0,6.0,0.0,1860.0,129.0
Kodak DCS SLR/c,2004,4500.0,13.0,0.0,1000.0,129.0
Kodak DCS SLR/n,2004,4500.0,13.0,0.0,1000.0,129.0
Kodak DX3215,2001,1280.0,1.0,75.0,260.0,129.0
Kodak DX3500,2001,1800.0,2.0,75.0,225.0,129.0
Kodak DX3600,2001,1800.0,2.0,50.0,250.0,129.0
Kodak DX3700,2001,2160.0,3.0,50.0,250.0,129.0
Kodak DX3900,2001,2160.0,3.0,50.0,260.0,129.0
Kodak DX4330,2002,2160.0,3.0,60.0,260.0,126.0
Kodak DX4530,2003,2580.0,5.0,60.0,210.0,126.0
Kodak DX4900,2002,2448.0,4.0,50.0,260.0,129.0
Kodak DX6340,2003,2032.0,3.0,50.0,280.0,126.0
Kodak DX6440,2003,2304.0,4.0,50.0,270.0,129.0
Kodak DX6490,2003,2304.0,4.0,60.0,380.0,129.0
Kodak DX7440,2004,2304.0,4.0,50.0,270.0,129.0
Kodak DX7590,2004,2576.0,5.0,60.0,400.0,126.0
Kodak DX7630,2004,2872.0,6.0,60.0,270.0,126.0
Kodak Easyshare One,2005,2304.0,4.0,60.0,275.0,296.0
Kodak LS420,2002,1752.0,2.0,80.0,160.0,129.0
Kodak LS443,2002,2448.0,4.0,70.0,260.0,129.0
Kodak LS633,2003,2041.0,3.0,60.0,260.0,126.0
Kodak LS743,2004,2304.0,4.0,60.0,220.0,126.0
Kodak LS753,2004,2569.0,5.0,60.0,220.0,126.0
Kodak LS755,2004,2592.0,5.0,70.0,210.0,126.0
Kodak M753,2007,3056.0,7.0,40.0,165.0,126.0
Kodak M853,2007,3296.0,8.0,40.0,165.0,146.0
Kodak M873,2007,3264.0,8.0,70.0,160.0,146.0
Kodak M883,2007,3280.0,8.0,70.0,166.0,146.0
Kodak mc3,2001,640.0,0.0,70.0,198.0,129.0
Kodak P712,2006,3072.0,7.0,50.0,440.0,126.0
Kodak P850,2005,2592.0,5.0,10.0,450.0,146.0
Kodak P880,2005,3264.0,8.0,10.0,570.0,146.0
Kodak V1003,2007,3648.0,10.0,60.0,185.0,129.0
Kodak V530,2005,2569.0,5.0,60.0,150.0,126.0
Kodak V550,2005,2569.0,5.0,60.0,160.0,126.0
Kodak V570,2006,2569.0,5.0,0.0,175.0,129.0
Kodak V610,2006,2832.0,6.0,0.0,195.0,129.0
Kodak V705,2006,3072.0,7.0,60.0,165.0,126.0
Kodak V803,2007,3264.0,8.0,60.0,185.0,146.0
Kodak Z1275,2007,4000.0,12.0,60.0,211.0,129.0
Kodak Z612,2006,2848.0,6.0,50.0,330.0,129.0
Kodak Z650,2006,2848.0,6.0,60.0,320.0,126.0
Kodak Z700,2005,2304.0,4.0,60.0,270.0,126.0
Kodak Z710,2006,3072.0,7.0,60.0,360.0,126.0
Kodak Z712,2007,3072.0,7.0,60.0,350.0,126.0
Kodak Z730,2005,2576.0,5.0,50.0,270.0,126.0
Kodak Z740,2005,2576.0,5.0,60.0,330.0,126.0
Kodak Z7590,2005,2576.0,5.0,60.0,400.0,126.0
Kodak Z760,2005,2872.0,6.0,60.0,259.0,126.0
Kodak Z885,2007,3264.0,8.0,60.0,211.0,146.0
Kyocera Finecam 3300,2000,2048.0,3.0,60.0,240.0,169.0
Kyocera Finecam L30,2003,2048.0,3.0,60.0,220.0,169.0
Kyocera Finecam L3V,2003,2048.0,3.0,60.0,220.0,169.0
Kyocera Finecam L4V,2003,2304.0,4.0,60.0,220.0,199.0
Kyocera Finecam M400R,2004,2272.0,4.0,60.0,340.0,169.0
Kyocera Finecam M410R,2004,2272.0,4.0,60.0,340.0,179.0
Kyocera Finecam S3,2001,2048.0,3.0,30.0,160.0,1699.0
Kyocera Finecam S3L,2002,2048.0,3.0,55.0,205.0,1699.0
Kyocera Finecam S3R,2003,2048.0,3.0,60.0,205.0,1699.0
Kyocera Finecam S3x,2002,2048.0,3.0,55.0,175.0,1699.0
Kyocera Finecam S4,2002,2272.0,3.0,55.0,175.0,1699.0
Kyocera Finecam S5,2002,2560.0,5.0,55.0,205.0,1699.0
Kyocera Finecam S5R,2003,2560.0,5.0,60.0,205.0,1699.0
Kyocera Finecam SL300R,2003,2048.0,3.0,60.0,175.0,229.0
Kyocera Finecam SL400R,2004,2272.0,3.0,60.0,155.0,229.0
Leica C-LUX 1,2006,2816.0,6.0,50.0,155.0,509.0
Leica Digilux,1998,1280.0,1.0,50.0,260.0,149.0
Leica Digilux 1,2002,2240.0,3.0,30.0,455.0,249.0
Leica Digilux 2,2003,2560.0,4.0,30.0,705.0,249.0
Leica Digilux 3,2006,3136.0,7.0,0.0,606.0,269.0
Leica Digilux 4.3,2000,2400.0,2.0,80.0,280.0,149.0
Leica Digilux Zoom,2000,1280.0,1.0,80.0,270.0,249.0
Leica D-LUX 2,2005,3840.0,8.0,50.0,220.0,509.0
Leica D-LUX 3,2006,4224.0,10.0,50.0,220.0,509.0
Leica M8,2006,3936.0,10.0,0.0,591.0,146.0
Leica V-LUX 1,2006,3648.0,10.0,30.0,734.0,509.0
Nikon Coolpix 100,1997,512.0,0.0,23.0,200.0,229.0
Nikon Coolpix 2000,2002,1632.0,1.0,0.0,295.0,229.0
Nikon Coolpix 2100,2003,1600.0,1.0,30.0,215.0,99.0
Nikon Coolpix 2200,2004,1600.0,1.0,30.0,190.0,229.0
Nikon Coolpix 2500,2002,1600.0,1.0,30.0,250.0,229.0
Nikon Coolpix 300,1997,640.0,0.0,23.0,250.0,229.0
Nikon Coolpix 3100,2003,2048.0,3.0,30.0,215.0,99.0
Nikon Coolpix 3200,2004,2048.0,3.0,30.0,190.0,229.0
Nikon Coolpix 3500,2002,2048.0,3.0,30.0,250.0,229.0
Nikon Coolpix 3700,2003,2048.0,3.0,30.0,162.0,229.0
Nikon Coolpix 4100,2004,2288.0,3.0,0.0,190.0,99.0
Nikon Coolpix 4200,2004,2272.0,3.0,30.0,180.0,229.0
Nikon Coolpix 4300,2002,2272.0,3.0,30.0,286.0,229.0
Nikon Coolpix 4500,2002,2272.0,3.0,30.0,374.0,229.0
Nikon Coolpix 4600,2005,2288.0,3.0,30.0,180.0,229.0
Nikon Coolpix 4800,2004,2288.0,4.0,40.0,295.0,229.0
Nikon Coolpix 5000,2001,2560.0,4.0,50.0,414.0,229.0
Nikon Coolpix 5200,2004,2592.0,5.0,30.0,180.0,229.0
Nikon Coolpix 5400,2003,2592.0,5.0,50.0,400.0,229.0
Nikon Coolpix 5600,2005,2592.0,5.0,30.0,180.0,229.0
Nikon Coolpix 5700,2002,2560.0,4.0,50.0,512.0,229.0
Nikon Coolpix 5900,2005,2592.0,5.0,30.0,185.0,229.0
Nikon Coolpix 600,1998,1024.0,0.0,50.0,220.0,229.0
Nikon Coolpix 700,1999,1600.0,1.0,30.0,340.0,229.0
Nikon Coolpix 7600,2005,3072.0,7.0,30.0,195.0,229.0
Nikon Coolpix 775,2001,1600.0,1.0,30.0,230.0,159.0
Nikon Coolpix 7900,2005,3072.0,7.0,30.0,185.0,229.0
Nikon Coolpix 800,1999,1600.0,1.0,30.0,360.0,229.0
Nikon Coolpix 8400,2004,3264.0,8.0,50.0,470.0,229.0
Nikon Coolpix 8700,2004,3264.0,8.0,50.0,512.0,229.0
Nikon Coolpix 880,2000,2048.0,3.0,40.0,320.0,229.0
Nikon Coolpix 8800,2004,3264.0,8.0,50.0,680.0,229.0
Nikon Coolpix 885,2001,2048.0,3.0,40.0,286.0,159.0
Nikon Coolpix 900,1998,1280.0,1.0,50.0,420.0,229.0
Nikon Coolpix 900S,1998,1280.0,1.0,50.0,420.0,229.0
Nikon Coolpix 950,1999,1600.0,1.0,30.0,480.0,229.0
Nikon Coolpix 990,2000,2048.0,3.0,30.0,450.0,229.0
Nikon Coolpix 995,2001,2048.0,3.0,30.0,420.0,159.0
Nikon Coolpix L1,2005,2816.0,6.0,50.0,195.0,99.0
Nikon Coolpix L10,2007,2560.0,4.0,40.0,165.0,99.0
Nikon Coolpix L11,2007,2816.0,6.0,40.0,175.0,99.0
Nikon Coolpix L12,2007,3072.0,7.0,50.0,175.0,99.0
Nikon Coolpix L14,2007,3072.0,7.0,60.0,225.0,129.0
Nikon Coolpix L15,2007,3264.0,8.0,50.0,225.0,159.0
Nikon Coolpix L2,2006,2816.0,6.0,30.0,170.0,99.0
Nikon Coolpix L3,2006,2592.0,5.0,30.0,170.0,99.0
Nikon Coolpix L4,2006,2272.0,3.0,30.0,165.0,99.0
Nikon Coolpix L5,2006,3072.0,7.0,50.0,210.0,99.0
Nikon Coolpix L6,2006,2816.0,6.0,30.0,175.0,99.0
Nikon Coolpix P1,2005,3264.0,8.0,50.0,185.0,99.0
Nikon Coolpix P2,2005,2592.0,5.0,50.0,185.0,229.0
Nikon Coolpix P3,2006,3264.0,8.0,30.0,200.0,229.0
Nikon Coolpix P4,2006,3264.0,8.0,30.0,200.0,229.0
Nikon Coolpix P50,2007,3264.0,8.0,50.0,210.0,229.0
Nikon Coolpix P5000,2007,3648.0,10.0,30.0,240.0,399.0
Nikon Coolpix P5100,2007,4000.0,12.0,30.0,250.0,399.0
Nikon Coolpix S1,2005,2592.0,5.0,30.0,170.0,99.0
Nikon Coolpix S10,2006,2816.0,6.0,30.0,280.0,99.0
Nikon Coolpix S2,2005,2592.0,5.0,30.0,160.0,199.0
Nikon Coolpix S200,2007,3072.0,7.0,60.0,165.0,229.0
Nikon Coolpix S3,2005,2816.0,6.0,30.0,132.0,199.0
Nikon Coolpix S4,2005,2816.0,6.0,30.0,225.0,199.0
Nikon Coolpix S5,2006,2816.0,6.0,30.0,165.0,229.0
Nikon Coolpix S50,2007,3072.0,7.0,30.0,165.0,229.0
Nikon Coolpix S500,2007,3072.0,7.0,50.0,165.0,229.0
Nikon Coolpix S50c,2007,3072.0,7.0,30.0,165.0,329.0
Nikon Coolpix S51,2007,3264.0,7.0,30.0,175.0,279.0
Nikon Coolpix S510,2007,3264.0,8.0,50.0,125.0,399.0
Nikon Coolpix S51c,2007,3264.0,7.0,30.0,175.0,329.0
Nikon Coolpix S6,2006,2816.0,6.0,30.0,170.0,199.0
Nikon Coolpix S7c,2006,3072.0,7.0,30.0,170.0,199.0
Nikon Coolpix S9,2006,2816.0,6.0,25.0,165.0,199.0
Nikon Coolpix SQ,2003,2016.0,3.0,30.0,216.0,199.0
Nikon D1,1999,2000.0,2.0,0.0,1200.0,1599.0
Nikon D100,2002,3008.0,6.0,0.0,780.0,1599.0
Nikon D1H,2001,2000.0,2.0,0.0,1200.0,1599.0
Nikon D1X,2001,3008.0,5.0,0.0,1200.0,4699.0
Nikon D200,2005,3872.0,10.0,0.0,920.0,1599.0
Nikon D2H,2003,2464.0,4.0,0.0,1200.0,1599.0
Nikon D2Hs,2005,2464.0,4.0,0.0,1200.0,4699.0
Nikon D2X,2004,4288.0,12.0,0.0,1200.0,4699.0
Nikon D2Xs,2006,4288.0,12.0,0.0,1200.0,4699.0
Nikon D3,2007,4256.0,12.0,0.0,1300.0,4999.0
Nikon D300,2007,4288.0,12.0,0.0,925.0,1799.0
Nikon D40,2006,3008.0,6.0,0.0,522.0,549.0
Nikon D40X,2007,3872.0,10.0,0.0,522.0,549.0
Nikon D50,2005,3008.0,6.0,0.0,620.0,1599.0
Nikon D70,2004,3008.0,6.0,0.0,679.0,1599.0
Nikon D70s,2005,3008.0,6.0,0.0,679.0,1599.0
Nikon D80,2006,3872.0,10.0,0.0,668.0,1199.0
Olympus C-1,2001,1280.0,1.0,50.0,190.0,1699.0
Olympus D-370,2001,1280.0,1.0,60.0,190.0,1699.0
Olympus D-380,2002,1600.0,1.0,60.0,250.0,1699.0
Olympus D-150Z,2001,1280.0,1.0,50.0,190.0,1699.0
Olympus C-2,2001,1600.0,1.0,50.0,220.0,1699.0
Olympus C-2000 Zoom,1999,1600.0,1.0,80.0,380.0,129.0
Olympus D-510 Zoom,2001,1600.0,1.0,80.0,250.0,129.0
Olympus C-2020 Zoom,1999,1600.0,1.0,80.0,380.0,129.0
Olympus C-2040 Zoom,2000,1600.0,1.0,80.0,380.0,129.0
Olympus C-21,1999,1600.0,1.0,60.0,190.0,1699.0
Olympus C-2100 UZ,2000,1600.0,1.0,60.0,540.0,129.0
Olympus C-2500 L,1999,1712.0,2.0,80.0,530.0,129.0
Olympus C-3000 Zoom,2000,2048.0,3.0,80.0,380.0,1699.0
Olympus C-300 Zoom,2002,1984.0,3.0,80.0,300.0,1699.0
Olympus C-3020 Zoom,2001,2048.0,3.0,80.0,380.0,1699.0
Olympus C-3030 Zoom,2000,2048.0,3.0,80.0,380.0,1699.0
Olympus C-3040 Zoom,2000,2048.0,3.0,80.0,420.0,1699.0
Olympus C-4000 Zoom,2002,2288.0,3.0,80.0,400.0,129.0
Olympus C-4040 Zoom,2001,2272.0,3.0,80.0,420.0,129.0
Olympus D-40 Zoom,2001,2272.0,3.0,80.0,270.0,1699.0
Olympus C-5000 Zoom,2003,2560.0,4.0,50.0,280.0,449.0
Olympus C-5050 Zoom,2002,2560.0,4.0,80.0,480.0,449.0
Olympus C-5060 Zoom,2003,2592.0,5.0,80.0,480.0,449.0
Olympus C-50 Zoom,2002,2560.0,4.0,50.0,230.0,449.0
Olympus C-5500 Sport Zoom,2005,2592.0,5.0,60.0,340.0,129.0
Olympus C-60 Zoom,2004,2816.0,5.0,40.0,230.0,449.0
Olympus C-7000 Zoom,2004,3072.0,7.0,60.0,280.0,129.0
Olympus C-700 UZ,2001,1600.0,1.0,60.0,340.0,449.0
Olympus C-7070 Wide Zoom,2005,3072.0,7.0,80.0,480.0,129.0
Olympus C-720 UZ,2002,1984.0,3.0,60.0,340.0,449.0
Olympus C-730 UZ,2002,2048.0,3.0,60.0,400.0,449.0
Olympus C-740 UZ,2003,2048.0,3.0,60.0,340.0,449.0
Olympus C-750 UZ,2003,2288.0,3.0,60.0,340.0,449.0
Olympus C-765 UZ,2004,2288.0,3.0,60.0,310.0,449.0
Olympus C-770 UZ,2004,2288.0,3.0,60.0,310.0,449.0
Olympus C-8080 Wide Zoom,2004,3264.0,8.0,80.0,724.0,179.0
Olympus D-200L,1996,640.0,0.0,75.0,320.0,129.0
Olympus D-300L,1996,1024.0,0.0,50.0,320.0,1699.0
Olympus D-340L,1998,1280.0,1.0,70.0,320.0,1699.0
Olympus D-340R,1999,1280.0,1.0,70.0,320.0,1699.0
Olympus D-360L,2000,1280.0,1.0,50.0,280.0,1699.0
Olympus D-390,2003,1600.0,1.0,50.0,230.0,1699.0
Olympus D-395,2004,2048.0,3.0,50.0,210.0,1699.0
Olympus D-400 Zoom,1998,1280.0,1.0,80.0,320.0,129.0
Olympus D-425,2005,2288.0,3.0,50.0,170.0,1699.0
Olympus D-435,2005,2592.0,5.0,50.0,140.0,1699.0
Olympus D-450 Zoom,1999,1280.0,1.0,80.0,320.0,129.0
Olympus D-460 Zoom,2000,1280.0,1.0,80.0,320.0,449.0
Olympus D-490 Zoom,2000,1600.0,1.0,80.0,320.0,129.0
Olympus D-500L,1997,1024.0,0.0,60.0,490.0,449.0
Olympus D-520 Zoom,2002,1600.0,1.0,50.0,220.0,449.0
Olympus D-535 Zoom,2004,2048.0,3.0,50.0,190.0,449.0
Olympus D-540 Zoom,2004,2048.0,3.0,50.0,200.0,449.0
Olympus D-545 Zoom,2005,2288.0,3.0,50.0,190.0,449.0
Olympus D-560 Zoom,2003,2048.0,3.0,50.0,220.0,449.0
Olympus D-580 Zoom,2004,2288.0,3.0,50.0,210.0,179.0
Olympus D-595 Zoom,2005,2560.0,4.0,50.0,190.0,449.0
Olympus D-600L,1997,1280.0,1.0,60.0,0.0,1699.0
Olympus D-620L,1998,1280.0,1.0,60.0,520.0,1699.0
Olympus D-630 Zoom,2005,2560.0,4.0,60.0,175.0,129.0
Olympus E-1,2003,2560.0,4.0,0.0,735.0,1699.0
Olympus E-10,2000,2240.0,3.0,60.0,1190.0,1699.0
Olympus E-100 RS,2000,1368.0,1.0,60.0,603.0,129.0
Olympus E-20,2001,2560.0,4.0,60.0,1190.0,1699.0
Olympus E-3,2007,3648.0,10.0,0.0,800.0,1699.0
Olympus E-300,2004,3264.0,8.0,0.0,624.0,1699.0
Olympus E-330,2006,3136.0,7.0,0.0,616.0,1699.0
Olympus E-400,2006,3648.0,10.0,0.0,435.0,1699.0
Olympus E-410,2007,3648.0,10.0,0.0,435.0,1699.0
Olympus E-500,2005,3264.0,8.0,0.0,479.0,1699.0
Olympus E-510,2007,3648.0,10.0,0.0,490.0,1699.0
Olympus FE-100,2005,2272.0,4.0,50.0,160.0,129.0
Olympus FE-110,2005,2560.0,5.0,50.0,160.0,129.0
Olympus FE-115,2006,2560.0,5.0,50.0,160.0,129.0
Olympus FE-120,2005,2816.0,6.0,50.0,160.0,129.0
Olympus FE-130,2006,2592.0,5.0,10.0,160.0,129.0
Olympus FE-140,2006,2816.0,6.0,10.0,160.0,129.0
Olympus FE-150,2006,2560.0,5.0,50.0,175.0,129.0
Olympus FE-170,2006,2816.0,6.0,0.0,175.0,129.0
Olympus FE-180,2006,2816.0,6.0,0.0,170.0,179.0
Olympus FE-190,2006,2816.0,6.0,0.0,150.0,129.0
Olympus FE-200,2006,2816.0,6.0,0.0,195.0,129.0
Olympus FE-210,2007,3072.0,7.0,60.0,175.0,129.0
Olympus FE-230,2007,3072.0,7.0,60.0,145.0,129.0
Olympus FE-240,2007,3072.0,7.0,70.0,145.0,129.0
Olympus FE-250,2007,3264.0,8.0,60.0,155.0,129.0
Olympus FE-270,2007,3072.0,7.0,60.0,122.0,129.0
Olympus FE-280,2007,3264.0,8.0,60.0,108.0,179.0
Olympus FE-290,2007,3072.0,7.0,40.0,142.0,129.0
Olympus FE-300,2007,4000.0,12.0,60.0,115.0,129.0
Olympus IR-300,2005,2560.0,4.0,50.0,160.0,129.0
Olympus Stylus 300 ,2003,2048.0,3.0,50.0,220.0,229.0
Olympus Stylus 400 ,2003,2272.0,3.0,50.0,220.0,229.0
Olympus SP-310,2005,3072.0,7.0,20.0,230.0,449.0
Olympus SP-320,2006,3072.0,7.0,20.0,230.0,449.0
Olympus SP-350,2005,3264.0,8.0,20.0,245.0,449.0
Olympus SP-500 UZ,2005,2816.0,6.0,60.0,385.0,449.0
Olympus SP-510 UZ,2006,3072.0,7.0,60.0,410.0,449.0
Olympus SP-550 UZ,2007,3072.0,7.0,10.0,460.0,449.0
Olympus SP-560 UZ,2007,3264.0,8.0,10.0,365.0,449.0
Olympus SP-700,2005,2816.0,6.0,30.0,180.0,449.0
Olympus Stylus 1000,2006,3648.0,10.0,60.0,195.0,229.0
Olympus Stylus 1200,2007,4000.0,12.0,60.0,125.0,249.0
Olympus Stylus 410 ,2004,2272.0,3.0,50.0,200.0,229.0
Olympus Stylus 500 ,2004,2560.0,4.0,50.0,200.0,229.0
Olympus Stylus 600 ,2005,2816.0,6.0,50.0,195.0,229.0
Olympus Stylus 700 ,2006,3072.0,7.0,60.0,140.0,229.0
Olympus Stylus 720 SW ,2006,3072.0,7.0,60.0,190.0,299.0
Olympus Stylus 725 SW,2006,3072.0,7.0,60.0,190.0,299.0
Olympus Stylus 730,2006,3072.0,7.0,50.0,190.0,229.0
Olympus Stylus 740,2006,3072.0,7.0,70.0,160.0,229.0
Olympus Stylus 750,2006,3072.0,7.0,70.0,170.0,229.0
Olympus Stylus 760,2007,3072.0,7.0,60.0,160.0,229.0
Olympus Stylus 770 SW,2007,3072.0,7.0,50.0,195.0,299.0
Olympus Stylus 780,2007,3072.0,7.0,70.0,195.0,299.0
Olympus Stylus 790 SW,2007,3072.0,7.0,50.0,155.0,299.0
Olympus Stylus 800 ,2005,3264.0,8.0,50.0,200.0,249.0
Olympus Stylus 810 ,2006,3264.0,8.0,60.0,185.0,249.0
Olympus Stylus 820,2007,3264.0,8.0,70.0,125.0,249.0
Olympus Stylus 830,2007,3248.0,8.0,70.0,125.0,249.0
Olympus Stylus Verve ,2004,2272.0,3.0,50.0,165.0,229.0
Olympus Stylus Verve  S,2005,2560.0,4.0,50.0,165.0,299.0
Panasonic Lumix DMC-F7,2001,1600.0,1.0,50.0,200.0,1499.0
Panasonic Lumix DMC-FX01,2006,2816.0,6.0,50.0,155.0,1499.0
Panasonic Lumix DMC-FX07,2006,3072.0,7.0,50.0,170.0,1499.0
Panasonic Lumix DMC-FX1,2003,2048.0,3.0,50.0,185.0,1499.0
Panasonic Lumix DMC-FX10,2007,2816.0,6.0,50.0,155.0,1499.0
Panasonic Lumix DMC-FX100,2007,4000.0,12.0,50.0,150.0,1499.0
Panasonic Lumix DMC-FX12,2007,3072.0,7.0,50.0,155.0,1499.0
Panasonic Lumix DMC-FX2,2004,2304.0,4.0,50.0,148.0,1499.0
Panasonic Lumix DMC-FX3,2006,2816.0,6.0,50.0,165.0,299.0
Panasonic Lumix DMC-FX30,2007,3072.0,7.0,50.0,162.0,299.0
Panasonic Lumix DMC-FX33,2007,3264.0,8.0,50.0,154.0,299.0
Panasonic Lumix DMC-FX5,2003,2304.0,4.0,50.0,185.0,1499.0
Panasonic Lumix DMC-FX50,2006,3072.0,7.0,50.0,190.0,1499.0
Panasonic Lumix DMC-FX55,2007,3264.0,8.0,50.0,165.0,1499.0
Panasonic Lumix DMC-FX7,2004,2560.0,4.0,50.0,153.0,1499.0
Panasonic Lumix DMC-FX8,2005,2560.0,5.0,50.0,155.0,1499.0
Panasonic Lumix DMC-FX9,2005,2816.0,6.0,50.0,155.0,1499.0
Panasonic Lumix DMC-FZ1,2002,1600.0,2.0,30.0,354.0,149.0
Panasonic Lumix DMC-FZ10,2003,2304.0,4.0,30.0,550.0,149.0
Panasonic Lumix DMC-FZ18,2007,3264.0,8.0,30.0,407.0,149.0
Panasonic Lumix DMC-FZ2,2003,1600.0,2.0,30.0,350.0,149.0
Panasonic Lumix DMC-FZ20,2004,2560.0,5.0,30.0,556.0,149.0
Panasonic Lumix DMC-FZ3,2004,2016.0,3.0,30.0,326.0,299.0
Panasonic Lumix DMC-FZ30,2005,3264.0,8.0,30.0,740.0,299.0
Panasonic Lumix DMC-FZ4,2005,2304.0,4.0,50.0,326.0,149.0
Panasonic Lumix DMC-FZ5,2005,2560.0,4.0,50.0,326.0,149.0
Panasonic Lumix DMC-FZ50,2006,3648.0,10.0,30.0,734.0,149.0
Panasonic Lumix DMC-FZ7,2006,2816.0,6.0,30.0,340.0,149.0
Panasonic Lumix DMC-FZ8,2007,3072.0,7.0,30.0,340.0,149.0
Panasonic Lumix DMC-L1,2006,3136.0,7.0,0.0,606.0,1499.0
Panasonic Lumix DMC-L10,2007,3648.0,10.0,0.0,556.0,1499.0
Panasonic Lumix DMC-LC1,2004,2560.0,4.0,30.0,705.0,1499.0
Panasonic Lumix DMC-LC20,2002,1600.0,1.0,50.0,290.0,1499.0
Panasonic Lumix DMC-LC33,2003,2048.0,3.0,50.0,215.0,1499.0
Panasonic Lumix DMC-LC40,2002,2240.0,3.0,30.0,420.0,1499.0
Panasonic Lumix DMC-LC43,2003,2304.0,4.0,50.0,215.0,1499.0
Panasonic Lumix DMC-LC5,2001,2240.0,3.0,30.0,435.0,1499.0
Panasonic Lumix DMC-LC50,2004,2048.0,3.0,50.0,210.0,1499.0
Panasonic Lumix DMC-LC70,2004,2304.0,4.0,50.0,210.0,1499.0
Panasonic Lumix DMC-LC80,2004,2560.0,4.0,50.0,207.0,1499.0
Panasonic Lumix DMC-LS1,2005,2304.0,4.0,50.0,188.0,1499.0
Panasonic Lumix DMC-LS2,2006,2560.0,5.0,50.0,188.0,1499.0
Panasonic Lumix DMC-LS60,2007,2816.0,6.0,50.0,188.0,149.0
Panasonic Lumix DMC-LS75,2007,3072.0,7.0,50.0,188.0,1499.0
Panasonic Lumix DMC-LX1,2005,3840.0,8.0,50.0,220.0,1499.0
Panasonic Lumix DMC-LX2,2006,4224.0,10.0,50.0,220.0,1499.0
Panasonic Lumix DMC-LZ1,2005,2304.0,4.0,50.0,224.0,149.0
Panasonic Lumix DMC-LZ2,2005,2560.0,5.0,50.0,224.0,149.0
Panasonic Lumix DMC-LZ3,2006,2560.0,5.0,50.0,230.0,149.0
Panasonic Lumix DMC-LZ5,2006,2816.0,6.0,50.0,230.0,149.0
Panasonic Lumix DMC-LZ6,2007,3072.0,7.0,50.0,230.0,149.0
Panasonic Lumix DMC-LZ7,2007,3072.0,7.0,50.0,234.0,149.0
Panasonic Lumix DMC-TZ1,2006,2560.0,4.0,40.0,250.0,299.0
Panasonic Lumix DMC-TZ2,2007,2816.0,6.0,50.0,260.0,299.0
Panasonic Lumix DMC-TZ3,2007,3072.0,7.0,50.0,280.0,299.0
Pentax EI-100,2001,1280.0,1.0,60.0,240.0,509.0
Pentax EI-200,2000,1600.0,1.0,50.0,390.0,509.0
Pentax EI-2000,2000,1600.0,1.0,50.0,630.0,509.0
Pentax *ist D,2003,3008.0,6.0,0.0,650.0,799.0
Pentax *ist DL,2005,3008.0,6.0,0.0,565.0,799.0
Pentax *ist DL2,2006,3008.0,6.0,0.0,565.0,799.0
Pentax *ist DS,2004,3008.0,6.0,0.0,605.0,799.0
Pentax *ist DS2,2005,3008.0,6.0,0.0,605.0,799.0
Pentax K100D,2006,3008.0,6.0,0.0,660.0,509.0
Pentax K100D Super,2007,3008.0,6.0,0.0,646.0,509.0
Pentax K10D,2006,3872.0,10.0,0.0,793.0,799.0
Pentax K110D,2006,3008.0,6.0,0.0,585.0,509.0
Pentax Optio 230,2002,1600.0,1.0,50.0,230.0,269.0
Pentax Optio 30,2004,2048.0,3.0,50.0,180.0,149.0
Pentax Optio 330,2001,2048.0,3.0,40.0,240.0,269.0
Pentax Optio 330GS,2002,2048.0,3.0,4.0,230.0,269.0
Pentax Optio 330RS,2002,2048.0,3.0,40.0,240.0,269.0
Pentax Optio 33L,2003,2048.0,3.0,40.0,225.0,269.0
Pentax Optio 33LF,2003,2048.0,3.0,40.0,225.0,269.0
Pentax Optio 33WR,2003,2048.0,3.0,30.0,208.0,269.0
Pentax Optio 430,2001,2240.0,3.0,40.0,240.0,269.0
Pentax Optio 430RS,2002,2240.0,3.0,40.0,240.0,269.0
Pentax Optio 43WR,2004,2288.0,3.0,30.0,200.0,269.0
Pentax Optio 450,2003,2288.0,3.0,60.0,250.0,149.0
